Date,Price,Open,High,Low,Vol,Change,left,right,Volume
"May 01, 2020",8821.6,8628.6,9040.3,8621,1.11M,2.23%,1.11,M,1110000
"Apr 30, 2020",8629,8770.6,9437.5,8425.5,2.04M,-1.62%,2.04,M,2040000
"Apr 29, 2020",8770.9,7746.7,8918.5,7729.7,1.83M,13.22%,1.83,M,1830000
"Apr 28, 2020",7746.9,7766,7770.1,7655.3,808.09K,-0.25%,808.09,K,808090
"Apr 27, 2020",7766,7679.4,7768.5,7637.7,980.50K,1.13%,980.5,K,980500
"Apr 26, 2020",7678.9,7540.4,7679.4,7520.5,921.59K,1.84%,921.59,K,921590
"Apr 25, 2020",7540.4,7503.9,7684.6,7451,861.93K,0.49%,861.93,K,861930
"Apr 24, 2020",7503.8,7491.3,7583.5,7423.5,951.95K,0.20%,951.95,K,951950
"Apr 23, 2020",7488.5,7112.8,7655.4,7036.5,1.34M,5.28%,1.34,M,1340000
"Apr 22, 2020",7112.9,6842.5,7137.4,6821.8,914.18K,3.95%,914.18,K,914180
"Apr 21, 2020",6842.5,6833.4,6919.3,6774.3,892.57K,0.13%,892.57,K,892570
"Apr 20, 2020",6833.5,7122.9,7207.5,6771.2,1.26M,-4.06%,1.26,M,1260000
"Apr 19, 2020",7122.9,7230.9,7238,7079.1,5.93M,-1.49%,5.93,M,5930000
"Apr 18, 2020",7230.8,7035.9,7259.4,7031.5,796.45K,2.77%,796.45,K,796450
"Apr 17, 2020",7035.8,7085.5,7142.8,7005.8,810.10K,-0.70%,810.1,K,810100
"Apr 16, 2020",7085.6,6629.1,7159.7,6520.5,1.54M,6.89%,1.54,M,1540000
"Apr 15, 2020",6629.1,6851.3,6929.5,6615.9,1.00M,-3.24%,1,M,1000000
"Apr 14, 2020",6850.9,6841.8,6970.8,6768.6,999.53K,0.14%,999.53,K,999530
"Apr 13, 2020",6841.3,6918.1,6920.3,6618.5,1.25M,-1.10%,1.25,M,1250000
"Apr 12, 2020",6917.6,6867.9,7158.8,6785.1,1.10M,0.73%,1.1,M,1100000
"Apr 11, 2020",6867.8,6862.7,6931.4,6765.1,845.58K,0.07%,845.58,K,845580
