Height,Sum,Time
546,['25'],2009-01-15 06:08:20
546,['25'],2009-01-15 06:08:20
546,['25'],2009-01-15 06:08:20
586,['250'],2009-01-15 14:25:20
586,['50'],2009-01-15 14:25:20
2812,['50'],2009-02-03 04:47:39
2812,['50'],2009-02-03 04:47:39
2812,['50'],2009-02-03 04:47:39
2812,['49.99'],2009-02-03 04:47:39
2812,['49.98'],2009-02-03 04:47:39
2813,['49.97'],2009-02-03 04:53:54
2813,['49.96'],2009-02-03 04:53:54
2813,['49.95'],2009-02-03 04:53:54
2813,['49.94'],2009-02-03 04:53:54
2813,['34.94'],2009-02-03 04:53:54
2817,['33.93'],2009-02-03 05:16:42
2817,['32.93'],2009-02-03 05:16:42
2817,['32.92'],2009-02-03 05:16:42
3309,['150'],2009-02-07 02:54:26
3309,['50'],2009-02-07 02:54:26
3309,['198'],2009-02-07 02:54:26
5217,['200'],2009-02-22 10:32:25
5217,['50'],2009-02-22 10:32:25
5219,['400'],2009-02-22 10:50:53
5219,['400'],2009-02-22 10:50:53
6156,['250'],2009-03-03 04:24:25
6156,['150'],2009-03-03 04:24:25
6764,['50'],2009-03-08 17:14:52
6764,['300'],2009-03-08 17:14:52
7939,['550'],2009-03-18 23:38:16
7939,['150'],2009-03-18 23:38:16
8315,['300'],2009-03-22 16:31:22
8315,['250'],2009-03-22 16:31:22
9006,['50'],2009-03-28 16:06:49
9006,['800'],2009-03-28 16:06:49
9006,['150'],2009-03-28 16:06:49
9962,['100'],2009-04-05 20:43:36
9962,['750'],2009-04-05 20:43:36
11408,['32.51'],2009-04-18 15:55:19
11408,['50'],2009-04-18 15:55:19
12304,['100'],2009-04-26 13:18:39
12304,['650'],2009-04-26 13:18:39
13174,['35'],2009-05-03 21:41:41
13174,['25'],2009-05-03 21:41:41
14324,['49'],2009-05-13 21:24:01
14324,['0.01'],2009-05-13 21:24:01
14461,['50'],2009-05-14 21:59:33
14461,['49.99'],2009-05-14 21:59:33
21563,['1800.13'],2009-08-26 18:23:18
21563,['49.4'],2009-08-26 18:23:18
21563,['498.53'],2009-08-26 18:23:18
24434,['200'],2009-10-06 08:40:58
24434,['700'],2009-10-06 08:40:58
26814,['15500'],2009-11-11 01:26:23
26814,['1000'],2009-11-11 01:26:23
26816,['14500'],2009-11-11 01:42:08
26816,['13500'],2009-11-11 01:42:08
26816,['12500'],2009-11-11 01:42:08
26816,['11500'],2009-11-11 01:42:08
26817,['10500'],2009-11-11 02:03:14
26817,['10000'],2009-11-11 02:03:14
29129,['49'],2009-12-09 03:33:30
29129,['1900'],2009-12-09 03:33:30
29169,['1'],2009-12-09 13:36:10
29169,['187'],2009-12-09 13:36:10
29170,['1'],2009-12-09 13:42:52
29170,['1'],2009-12-09 13:42:52
34402,['5049.88'],2010-01-12 17:55:48
34402,['5749.74'],2010-01-12 17:55:48
35637,['49'],2010-01-21 12:52:06
35637,['47'],2010-01-21 12:52:06
35637,['45.8'],2010-01-21 12:52:06
35637,['45.75'],2010-01-21 12:52:06
35637,['45.74'],2010-01-21 12:52:06
35992,['49'],2010-01-23 20:17:11
35992,['2'],2010-01-23 20:17:11
36236,['50'],2010-01-25 07:36:04
36236,['50'],2010-01-25 07:36:04
36405,['25'],2010-01-26 03:47:37
36405,['25'],2010-01-26 03:47:37
36516,['99'],2010-01-26 16:54:32
36516,['599'],2010-01-26 16:54:32
37303,['250'],2010-01-30 21:58:48
37303,['50'],2010-01-30 21:58:48
37514,['1'],2010-02-01 01:47:30
37514,['200'],2010-02-01 01:47:30
38004,['100'],2010-02-03 16:32:14
38004,['200'],2010-02-03 16:32:14
38353,['50'],2010-02-05 03:37:52
38353,['149'],2010-02-05 03:37:52
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['650'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
38552,['50'],2010-02-06 00:47:01
39067,['700'],2010-02-08 12:47:42
39067,['700'],2010-02-08 12:47:42
39413,['10000'],2010-02-10 07:24:57
39413,['10000'],2010-02-10 07:24:57
39413,['10000'],2010-02-10 07:24:57
39724,['2000'],2010-02-12 03:56:10
39724,['2000'],2010-02-12 03:56:10
40034,['49'],2010-02-13 15:00:18
40034,['450'],2010-02-13 15:00:18
40300,['50'],2010-02-14 21:00:18
40300,['50'],2010-02-14 21:00:18
40300,['50'],2010-02-14 21:00:18
40464,['49.98'],2010-02-15 19:45:37
40464,['150'],2010-02-15 19:45:37
40815,['1'],2010-02-17 13:50:19
40815,['1'],2010-02-17 13:50:19
40858,['50'],2010-02-17 17:57:09
40858,['500'],2010-02-17 17:57:09
40858,['13987.26'],2010-02-17 17:57:09
40858,['13986.33'],2010-02-17 17:57:09
41875,['550'],2010-02-22 10:03:20
41875,['2500'],2010-02-22 10:03:20
41943,['1200'],2010-02-22 16:18:13
41943,['50'],2010-02-22 16:18:13
42644,['50'],2010-02-26 05:58:50
42644,['699'],2010-02-26 05:58:50
43026,['50'],2010-02-28 14:07:01
43026,['5199'],2010-02-28 14:07:01
43281,['200'],2010-03-01 22:39:02
43281,['100'],2010-03-01 22:39:02
44007,['50'],2010-03-06 02:18:39
44007,['50'],2010-03-06 02:18:39
44007,['50'],2010-03-06 02:18:39
44264,['1800'],2010-03-07 14:25:51
44264,['4150'],2010-03-07 14:25:51
44734,['50'],2010-03-10 18:58:02
44734,['50'],2010-03-10 18:58:02
44734,['349.99'],2010-03-10 18:58:02
45332,['48'],2010-03-15 04:49:08
45332,['2'],2010-03-15 04:49:08
45800,['30'],2010-03-18 14:19:16
45800,['10'],2010-03-18 14:19:16
45829,['50'],2010-03-18 20:15:25
45829,['70'],2010-03-18 20:15:25
46121,['750'],2010-03-20 15:10:20
46121,['1000'],2010-03-20 15:10:20
46179,['1000'],2010-03-20 22:23:42
46179,['110'],2010-03-20 22:23:42
46179,['400'],2010-03-20 22:23:42
46179,['140'],2010-03-20 22:23:42
46241,['50'],2010-03-21 06:54:40
46241,['50'],2010-03-21 06:54:40
46469,['500'],2010-03-22 14:41:45
46469,['550'],2010-03-22 14:41:45
46559,['50'],2010-03-23 00:53:28
46559,['50'],2010-03-23 00:53:28
46859,['50'],2010-03-24 15:25:09
46859,['340'],2010-03-24 15:25:09
46859,['60'],2010-03-24 15:25:09
46863,['50'],2010-03-24 15:55:54
46863,['100'],2010-03-24 15:55:54
47038,['50'],2010-03-25 14:53:41
47038,['50'],2010-03-25 14:53:41
47062,['7000'],2010-03-25 17:38:51
47062,['15000'],2010-03-25 17:38:51
47068,['50'],2010-03-25 18:24:34
47068,['100'],2010-03-25 18:24:34
47136,['50'],2010-03-26 02:40:49
47136,['50'],2010-03-26 02:40:49
47163,['50'],2010-03-26 07:09:05
47163,['50'],2010-03-26 07:09:05
47248,['100'],2010-03-26 16:07:33
47248,['50'],2010-03-26 16:07:33
47248,['50'],2010-03-26 16:07:33
47273,['100'],2010-03-26 19:37:35
47273,['1350'],2010-03-26 19:37:35
47419,['100'],2010-03-27 16:00:14
47419,['750'],2010-03-27 16:00:14
47642,['150'],2010-03-28 19:26:03
47642,['50'],2010-03-28 19:26:03
47805,['500'],2010-03-29 16:25:09
47805,['50'],2010-03-29 16:25:09
47805,['450'],2010-03-29 16:25:09
47811,['50'],2010-03-29 16:45:26
47811,['100'],2010-03-29 16:45:26
48005,['200'],2010-03-30 14:55:07
48005,['50'],2010-03-30 14:55:07
48075,['50'],2010-03-30 22:33:10
48075,['50'],2010-03-30 22:33:10
48133,['50'],2010-03-31 04:28:17
48133,['50'],2010-03-31 04:28:17
48298,['50'],2010-04-01 00:12:31
48298,['100'],2010-04-01 00:12:31
48453,['50'],2010-04-01 22:18:39
48453,['350'],2010-04-01 22:18:39
48453,['50'],2010-04-01 22:18:39
48810,['1100'],2010-04-04 04:48:29
48810,['400'],2010-04-04 04:48:29
48918,['50'],2010-04-04 19:44:37
48918,['50'],2010-04-04 19:44:37
49076,['50'],2010-04-05 18:41:18
49076,['50'],2010-04-05 18:41:18
49076,['50'],2010-04-05 18:41:18
49076,['500'],2010-04-05 18:41:18
49076,['1'],2010-04-05 18:41:18
49076,['0.9'],2010-04-05 18:41:18
49076,['0.8'],2010-04-05 18:41:18
49076,['500'],2010-04-05 18:41:18
