Date,exchange_rate,
1999-01-04,1.1825,0.8456659619
1999-01-05,1.1774,0.8493290301
1999-01-06,1.1622,0.860437102
1999-01-07,1.1706,0.8542627712
1999-01-08,1.1577,0.863781636
1999-01-11,1.1498,0.8697164724
1999-01-12,1.1564,0.8647526807
1999-01-13,1.1663,0.8574123296
1999-01-14,1.17,0.8547008547
1999-01-15,1.1553,0.8655760409
1999-01-19,1.1605,0.8616975442
1999-01-20,1.1557,0.8652764558
1999-01-21,1.1591,0.8627383315
1999-01-22,1.1585,0.8631851532
1999-01-25,1.1549,0.8658758334
1999-01-26,1.156,0.8650519031
1999-01-27,1.1423,0.8754267706
1999-01-28,1.1412,0.8762705924
1999-01-29,1.1357,0.8805142203
1999-02-01,1.1298,0.8851124093
1999-02-02,1.1339,0.8819119852
1999-02-03,1.13,0.8849557522
1999-02-04,1.1328,0.8827683616
1999-02-05,1.1259,0.8881783462
1999-02-08,1.1324,0.8830801837
1999-02-09,1.1303,0.8847208706
1999-02-10,1.1326,0.8829242451
1999-02-11,1.1233,0.8902341316
1999-02-12,1.1275,0.8869179601
1999-02-16,1.1205,0.8924587238
1999-02-17,1.1245,0.8892841263
1999-02-18,1.12,0.8928571429
1999-02-19,1.1076,0.9028530155
1999-02-22,1.103,0.9066183137
1999-02-23,1.101,0.9082652134
1999-02-24,1.1,0.9090909091
1999-02-25,1.104,0.9057971014
1999-02-26,1.1026,0.9069472157
1999-03-01,1.0885,0.9186954525
1999-03-02,1.0933,0.9146620324
1999-03-03,1.0889,0.9183579759
1999-03-04,1.0807,0.9253261775
1999-03-05,1.0825,0.9237875289
1999-03-08,1.0883,0.9188642837
1999-03-09,1.0885,0.9186954525
1999-03-10,1.0946,0.9135757354
1999-03-11,1.103,0.9066183137
1999-03-12,1.0907,0.9168423948
1999-03-15,1.0933,0.9146620324
1999-03-16,1.0996,0.9094216079
1999-03-17,1.0994,0.9095870475
1999-03-18,1.0966,0.9119095386
1999-03-19,1.0893,0.9180207473
1999-03-22,1.0911,0.9165062781
1999-03-23,1.0911,0.9165062781
1999-03-24,1.0888,0.9184423218
1999-03-25,1.0841,0.9224241306
1999-03-26,1.0765,0.9289363679
1999-03-29,1.073,0.9319664492
1999-03-30,1.0713,0.9334453468
1999-03-31,1.0766,0.9288500836
1999-04-01,1.078,0.9276437848
1999-04-05,1.0713,0.9334453468
1999-04-06,1.0835,0.9229349331
1999-04-07,1.0773,0.9282465423
1999-04-08,1.0743,0.9308386857
1999-04-09,1.0791,0.9266981744
1999-04-12,1.0813,0.9248127254
1999-04-13,1.0769,0.928591327
1999-04-14,1.08,0.9259259259
1999-04-15,1.0703,0.9343174811
1999-04-16,1.07,0.9345794393
1999-04-19,1.0658,0.9382623381
1999-04-20,1.0631,0.9406452827
1999-04-21,1.061,0.9425070688
1999-04-22,1.0642,0.9396729938
1999-04-23,1.0613,0.9422406483
1999-04-26,1.0585,0.9447331129
1999-04-27,1.0664,0.9377344336
1999-04-28,1.0633,0.9404683532
1999-04-29,1.0587,0.9445546425
1999-04-30,1.058,0.9451795841
1999-05-03,1.0571,0.9459842967
1999-05-04,1.0623,0.9413536666
1999-05-05,1.0755,0.929800093
1999-05-06,1.0799,0.9260116677
1999-05-07,1.0756,0.9297136482
1999-05-10,1.0785,0.9272137228
1999-05-11,1.0714,0.9333582229
1999-05-12,1.065,0.9389671362
1999-05-13,1.0661,0.9379983116
1999-05-14,1.0661,0.9379983116
1999-05-17,1.0669,0.9372949667
1999-05-18,1.0672,0.9370314843
1999-05-19,1.0661,0.9379983116
1999-05-20,1.0623,0.9413536666
1999-05-21,1.0575,0.9456264775
1999-05-24,1.0594,0.9439305267
1999-05-25,1.0603,0.943129303
1999-05-26,1.044,0.9578544061
1999-05-27,1.0432,0.9585889571
1999-05-28,1.041,0.9606147935
1999-06-01,1.0452,0.9567546881
1999-06-02,1.0355,0.9657170449
1999-06-03,1.0324,0.9686168152
1999-06-04,1.0372,0.9641342075
1999-06-07,1.0288,0.9720062208
1999-06-08,1.046,0.9560229446
1999-06-09,1.047,0.9551098376
1999-06-10,1.0479,0.9542895314
1999-06-11,1.0535,0.9492168961
1999-06-14,1.0421,0.9596008061
1999-06-15,1.0426,0.95914061
1999-06-16,1.0298,0.9710623422
1999-06-17,1.0335,0.9675858732
1999-06-18,1.0388,0.9626492106
1999-06-21,1.0348,0.9663703131
1999-06-22,1.0323,0.9687106461
1999-06-23,1.033,0.968054211
1999-06-24,1.0421,0.9596008061
1999-06-25,1.043,0.9587727709
1999-06-28,1.0349,0.966276935
1999-06-29,1.0328,0.9682416731
1999-06-30,1.0338,0.967305088
1999-07-01,1.0233,0.9772305287
1999-07-02,1.0255,0.9751340809
1999-07-06,1.0236,0.9769441188
1999-07-07,1.0215,0.9789525208
1999-07-08,1.0217,0.9787608887
1999-07-09,1.0176,0.9827044025
1999-07-12,1.0145,0.9857072449
1999-07-13,1.0165,0.9837678308
1999-07-14,1.0204,0.9800078401
1999-07-15,1.0191,0.9812579727
1999-07-16,1.0196,0.9807767752
1999-07-19,1.0295,0.9713453133
1999-07-20,1.0408,0.9607993851
1999-07-21,1.0537,0.9490367277
1999-07-22,1.0514,0.951112802
1999-07-23,1.0495,0.9528346832
1999-07-26,1.065,0.9389671362
1999-07-27,1.0621,0.9415309293
1999-07-28,1.0665,0.9376465073
1999-07-29,1.0724,0.9324878777
1999-07-30,1.0697,0.9348415444
1999-08-02,1.0693,0.9351912466
1999-08-03,1.0682,0.9361542782
1999-08-04,1.0772,0.9283327144
1999-08-05,1.0754,0.9298865538
1999-08-06,1.0745,0.9306654258
1999-08-09,1.0715,0.9332711153
1999-08-10,1.0707,0.9339684319
1999-08-11,1.0652,0.9387908374
1999-08-12,1.0668,0.9373828271
1999-08-13,1.0568,0.9462528388
1999-08-16,1.058,0.9451795841
1999-08-17,1.0512,0.9512937595
1999-08-18,1.0519,0.9506607092
1999-08-19,1.0638,0.9400263207
1999-08-20,1.0665,0.9376465073
1999-08-23,1.0493,0.9530162966
1999-08-24,1.0531,0.949577438
1999-08-25,1.0416,0.9600614439
1999-08-26,1.0435,0.9583133685
1999-08-27,1.0457,0.9562972172
